subject,condition,component,amplitude,latency
M1_session_22__set_1_coilqppa.h5,post,N45,0.0,35.0
M1_session_22__set_1_coilqppa.h5,post,P60,0.0,50.0
M1_session_22__set_1_coilqppa.h5,post,N100,0.0,80.0
M1_session_22__set_1_coilqppa.h5,post,P180,0.0,150.0
M1_session_22__set_5_coilTpa.h5,pre,P30,2.189867,40.0
M1_session_22__set_5_coilTpa.h5,pre,N45,2.8705564,53.6
M1_session_22__set_5_coilTpa.h5,pre,P60,2.8705564,53.6
M1_session_22__set_5_coilTpa.h5,pre,N100,1.9893912,101.4
M1_session_22__set_5_coilTpa.h5,pre,P180,3.2718406,198.8
M1_session_22__set_5_coilTpa.h5,imagery,P30,2.7113318,29.4
M1_session_22__set_5_coilTpa.h5,imagery,N45,2.9286687,44.8
M1_session_22__set_5_coilTpa.h5,imagery,P60,2.7827299,80.0
M1_session_22__set_5_coilTpa.h5,imagery,N100,2.7827299,80.0
M1_session_22__set_5_coilTpa.h5,imagery,P180,2.550763,199.0
M1_session_22__set_5_coilTpa.h5,post,P30,0.0,20.0
M1_session_22__set_5_coilTpa.h5,post,N45,0.0,35.0
M1_session_22__set_5_coilTpa.h5,post,P60,0.0,50.0
M1_session_22__set_5_coilTpa.h5,post,N100,0.0,80.0
M1_session_22__set_5_coilTpa.h5,post,P180,0.0,150.0
M1_session_22__set_6_coilTap.h5,pre,P30,2.7548313,24.0
M1_session_22__set_6_coilTap.h5,pre,N45,2.2146313,35.0
M1_session_22__set_6_coilTap.h5,pre,P60,1.8440555,64.4
M1_session_22__set_6_coilTap.h5,pre,N100,3.5758648,111.0
M1_session_22__set_6_coilTap.h5,pre,P180,3.8614483,210.2
M1_session_22__set_6_coilTap.h5,imagery,P30,1.910556,20.2
M1_session_22__set_6_coilTap.h5,imagery,N45,2.4874687,60.0
M1_session_22__set_6_coilTap.h5,imagery,P60,2.5029886,60.4
M1_session_22__set_6_coilTap.h5,imagery,N100,3.0298588,115.8
M1_session_22__set_6_coilTap.h5,imagery,P180,2.7199323,219.6
M1_session_22__set_6_coilTap.h5,post,P30,0.0,20.0
M1_session_22__set_6_coilTap.h5,post,N45,0.0,35.0
M1_session_22__set_6_coilTap.h5,post,P60,0.0,50.0
M1_session_22__set_6_coilTap.h5,post,N100,0.0,80.0
M1_session_22__set_6_coilTap.h5,post,P180,0.0,150.0
M1_session_23__set_1_coilqppa.h5,pre,P30,2.4234903,29.8
M1_session_23__set_1_coilqppa.h5,pre,N45,2.409973,60.0
M1_session_23__set_1_coilqppa.h5,pre,P60,3.0255668,69.6
M1_session_23__set_1_coilqppa.h5,pre,N100,2.6088052,125.4
M1_session_23__set_1_coilqppa.h5,pre,P180,2.0199637,163.4
