subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
07IK,42,MI,M1_PA,onset,p60,55.0,70.0,5.168413385848204,5.168413385848204,66.53333333333332,5.219938577413559,68.0,7,3,F3,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,onset,n100,80.0,120.0,4.884031937519709,-4.884031937519709,91.80000000000001,-5.078230404853821,80.0,20,3,O2,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,after,n20,10.0,25.0,3.988866453344624,-3.988866453344624,19.0,-4.047846122309566,17.399999999999977,54,3,PO8,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,after,p30,20.0,40.0,6.867636527617772,6.867636527617772,28.80000000000001,6.992033511400223,28.80000000000001,9,3,C3,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,after,n45,40.0,55.0,5.634209411082168,-5.634209411082168,43.73333333333333,-5.68154502492398,42.0,48,3,FCz,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,after,p60,55.0,70.0,6.2711274299025535,6.2711274299025535,69.06666666666668,6.338230439424515,68.60000000000002,12,3,Fp1,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,after,n100,80.0,120.0,6.387804442644119,-6.387804442644119,119.40000000000002,-6.485415951013565,118.80000000000001,27,3,FT10,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_AP,rest,n20,10.0,25.0,18.590221210519474,-18.590221210519474,14.46666666666666,-18.842530407905578,15.0,9,3,C3,session_42__set_5__cleaned_SOUND.mat; session_42__set_9__cleaned_SOUND.mat,04_07IK_M1_AP_52MSO_MI.hdf5; 08_07IK_M1_AP_52MSO_MI.hdf5
07IK,42,MI,M1_AP,rest,p30,20.0,40.0,9.97180354145666,9.97180354145666,33.46666666666666,10.02375520966947,34.39999999999998,42,3,C1,session_42__set_5__cleaned_SOUND.mat; session_42__set_9__cleaned_SOUND.mat,04_07IK_M1_AP_52MSO_MI.hdf5; 08_07IK_M1_AP_52MSO_MI.hdf5
07IK,42,MI,M1_AP,rest,n45,40.0,55.0,8.769726149017613,-8.769726149017613,46.666666666666664,-8.920661930069327,44.0,15,3,Fp2,session_42__set_5__cleaned_SOUND.mat; session_42__set_9__cleaned_SOUND.mat,04_07IK_M1_AP_52MSO_MI.hdf5; 08_07IK_M1_AP_52MSO_MI.hdf5
