subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
14AL,58,real,PPC_L,onset,p60,55.0,70.0,6.334341957171758,6.334341957171758,67.59999999999998,6.628558087348938,69.39999999999998,43,3,P1,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,onset,n100,80.0,120.0,6.367376754780611,-6.367376754780611,113.06666666666668,-6.551148951053619,114.60000000000002,60,3,F6,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,after,n20,10.0,25.0,6.010549281239509,-6.010549281239509,16.399999999999995,-6.314657855033874,17.19999999999999,54,3,PO8,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,after,p30,20.0,40.0,10.616610000928242,10.616610000928242,29.400000000000016,10.75634143948555,27.80000000000001,11,3,O1,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,after,n45,40.0,55.0,6.571197965294123,-6.571197965294123,47.6,-7.335911450088024,43.60000000000002,5,3,F7,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,after,p60,55.0,70.0,7.400623160302639,7.400623160302639,56.73333333333335,7.855169974565506,58.80000000000001,30,3,T8,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,after,n100,80.0,120.0,9.897862717707952,-9.897862717707952,111.86666666666667,-10.17739767074585,118.19999999999999,58,3,FC4,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,MI,M1_PA,rest,n20,10.0,25.0,13.845354353586833,-13.845354353586833,13.866666666666674,-16.878834121227264,13.800000000000011,54,3,PO8,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,rest,p30,20.0,40.0,6.041877205471198,6.041877205471198,25.866666666666656,6.551966925412416,21.0,15,3,Fp2,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,rest,n45,40.0,55.0,4.402835723211369,-4.402835723211369,44.866666666666674,-4.634570202231407,45.80000000000001,54,3,PO8,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,rest,p60,55.0,70.0,9.755222773440183,9.755222773440183,63.26666666666667,10.49176475815475,69.80000000000001,12,3,Fp1,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,rest,n100,80.0,120.0,8.871584511796634,-8.871584511796634,114.86666666666666,-9.138678779602051,107.0,54,3,PO8,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,onset,n20,10.0,25.0,11.46386720220248,-11.46386720220248,12.0,-12.2499048101902,11.0,9,3,C3,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,onset,p30,20.0,40.0,6.632540603478749,6.632540603478749,30.73333333333331,8.085839076936246,30.399999999999977,54,3,PO8,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,onset,n45,40.0,55.0,5.5724664833645035,-5.5724664833645035,47.333333333333336,-6.216803460866213,40.19999999999999,9,3,C3,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,onset,p60,55.0,70.0,6.156061109012614,6.156061109012614,65.0,6.801109817493707,65.0,9,3,C3,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,onset,n100,80.0,120.0,5.012468722611665,-5.012468722611665,102.73333333333333,-5.149671329408884,115.80000000000001,62,3,FT8,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,after,n20,10.0,25.0,15.983735164205234,-15.983735164205234,14.133333333333326,-18.737478101253508,14.0,54,3,PO8,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,after,p30,20.0,40.0,6.65334207025667,6.65334207025667,37.79999999999999,6.870630507394671,37.19999999999999,34,3,AF7,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,after,n45,40.0,55.0,5.7857028177380565,-5.7857028177380565,51.4,-6.250683257877827,54.39999999999998,27,3,FT10,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,after,p60,55.0,70.0,12.316624321819594,12.316624321819594,68.00000000000001,12.718025132361799,68.80000000000001,34,3,AF7,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_PA,after,n100,80.0,120.0,8.676842191542189,-8.676842191542189,113.66666666666669,-8.872733789384364,111.60000000000002,54,3,PO8,session_58__set_4__cleaned_SOUND.mat; session_58__set_8__cleaned_SOUND.mat,03_14AL_M1_PA_41MSO_MI.hdf5; 07_14AL_M1_PA_41MSO_MI.hdf5
14AL,58,MI,M1_AP,rest,n20,10.0,25.0,13.546446798245112,-13.546446798245112,12.533333333333323,-14.558913588523865,12.0,42,3,C1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,rest,p30,20.0,40.0,10.825501049359639,10.825501049359639,22.46666666666668,11.009731085300446,23.600000000000023,12,3,Fp1,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,rest,n45,40.0,55.0,7.78866787870725,-7.78866787870725,40.46666666666666,-8.530044684410095,40.80000000000001,54,3,PO8,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
14AL,58,MI,M1_AP,rest,p60,55.0,70.0,12.892113763292633,12.892113763292633,62.19999999999999,13.21744786143303,62.19999999999999,47,3,Fpz,session_58__set_2__cleaned_SOUND.mat; session_58__set_6__cleaned_SOUND.mat,01_14AL_M1_AP_54MSO_MI.hdf5; 05_14AL_M1_AP_54MSO_MI.hdf5
